locale|ru_RU
SHIP_OCP209_SPECS|Производитель: Obonto Microengineering \nВысокопрочные подвесы: 2 \nМалопрочные подвесы: 2 \Стыковочных отсеки: 4 \nЭкипаж: 8 \nСухая масса: 184 500 кг \nОбем грузового отсека: 610 м³ \nХранилище переработанной руды (общее): 50 000 кг





 
SLOT_TURRET_LEFT|Левая турельная установка
SLOT_TURRET_RIGHT|Правая турельная установка



SLOT_TUBE_LEFT_UP|Левый верхний торпедный отсек
SLOT_TUBE_RIGHT_UP|Правый верхний торпедный отсек
SLOT_TUBE_LEFT_DN|Левый нижний торпедный отсек
SLOT_TUBE_RIGHT_DN|Правый нижний торпедный отсек



SLOT_DRONE|Отсек для дрона

SLOT_MAIN_LARGE|Большая главная двигательная установка

SLOT_RCS_LARGE|Большая система управления реактивной системой




IOE_MOD_DESCRIPTION|Этот порт мода Industries of Enceladus направлен на обеспечение полной совместимости с контентом IoE и другими модами на оборудование. \n\nСовместимость с сохранениями, созданными с использованием оригинального IoE, пока не поддерживается.

IOE_MOD_BRIEF|Мод с переработанным контентом, включающий более десятка кораблей, 50 предметов снаряжения и многое другое...





 
SLOT_CARGO_AUX|Модули для грузового отсека




 
SYSTEM_FUEL_1000000|Двойнной бак грузового класса

SYSTEM_FUEL_1000000_DESC|Двойнной топливный бак грузового класса, вмещающий до 1 000 000 кг топлива для тепловых ракет. Сотовые ячейки предотвращают сдвиги массы во время маневров.

SYSTEM_FUEL_1000000_SPECS|Вместимость: 1 000 000 кг \nТип рабочего тела: Для тепловых ракет

SYSTEM_FUEL_2000000|Топливный бак фрегата

SYSTEM_FUEL_2000000_DESC|Огромный, снятый с вооружения топливный бак военного класса, вмещающий до 2 000 000 кг топлива для тепловых ракет. Сотовые ячейки предотвращают сдвиги массы во время маневров.

SYSTEM_FUEL_2000000_SPECS|Вместимость: 2 000 000 кг \nТип рабочего тела: Для тепловых ракет





 
SYSTEM_THRUSTER_PIN150|Двигатель RMS Pin-C50

SYSTEM_THRUSTER_PIN150_DESC|Двигатель Rasamama Material Solutions Pin-C50 — это уникальная твердотельная система, использующая импульсную индукцию для ускорения и направления водородной плазмы без необходимости использования каких-либо механических компонентов, что значительно снижает риск повреждений, характерный для традиционных двигателей. Однако они испытывают повышенные нагрузки при ускорении и выходят из строя при значительно меньших ускорениях, чем обычные двигатели. \n\nНесмотря на невероятную износостойкость, установка мощных плазменных трубопроводов и поддерживающей энергетической инфраструктуры, а также непосредственное встраивание двигателей в корпус судна требуют привлечения специалистов, что может быть нелегко.

SYSTEM_THRUSTER_PIN150_SPECS|Тяга: 150 кН \nСкорость истечения: 90 км/с \nРасход рабочего тела: 1,6 кг/с \nЭнергопотребление: 90 МВт \nПотребление тепла: 6,8 ГВт \nРежим работы: Виртуально изменяемая тяга \nУгол поворота: 36 градусов \nРабочее тело: Водородная плазма \nМасса: 185 кг (на каждый двигатель) \nПроизводитель: Rasamama Material Solutions



SYSTEM_THRUSTER_BLAST|Двигатель ERS-BlasTR 7200

SYSTEM_THRUSTER_BLAST_DESC|Двигатель BlasTR от Electro Ride Systems — это совершенно новый двигатель NAGHET, использующий спиральный магнитоплазмодинамический ускоритель для достижения впечатляющей тяги при столь же невероятных скоростях истечения. Изначально предназначенный для гоночных судов, он также вызвал интерес у операторов тяжёлых судов, чьи высокие требования к тяге давно уже не удовлетворяются двигателями с низкой экономичностью топлива.

SYSTEM_THRUSTER_BLAST_SPECS|Тяга: 450 кН \nСкорость истечения: 22 км/с \nРасход рабочего тела: 20,5 кг/с \nЭнергопотребление: 72 МВт \nПотребление тепла: 5,0 ГВт \nРежим работы: Изменяемая тяга \nТопливо: Кислородо-водородная плазма \nМасса: 145 кг (на каждый двигатель) \nПроизводитель: Electro Ride Systems



SYSTEM_THRUSTER_PNTRM|Двигатель ND-PNTRm

SYSTEM_THRUSTER_PNTRM_DESC|Выдающийся успех двигателя PNTR показал Nakamura Dynamics, что давнюю проблему хрупких шарнирных креплений можно полностью обойти с помощью твердотельной технологии управления вектором тяги, и компания быстро приступила к эффективному уменьшению масштаба системы для использования в двигателях RCS. \n\nНесмотря на низкую скорость истечения, характерную для чистого ядерного ракетного двигателя (NTR), импульсный ядерный тепловой ракетный двигатель (Micro) компенсирует это самым большим эффективным диапазоном отклонения вектора тяги среди всех представленных на рынке двигателей. Низкие эксплуатационные расходы и быстрый прогрев делают его идеальным для более тяжёлых кораблей с ограниченной компоновкой двигателей с ЭПР.

SYSTEM_THRUSTER_PNTRM_SPECS|Тяга: 450 кН \nСкорость истечения: 5 км/с \nРасход рабочего тела: 90,0 кг/с \nЭнергопотребление: 40 МВт \nПотребление тепла: 1,8 ГВт \nРежим работы: Импульсная тяга \nУгол поворота: 60 градусов \nТопливо: Кислородо-водородная плазма \nМасса: 25 кг (на каждый двигатель) \nПроизводитель: Nakamura Dynamics





 
SYSTEM_SALVAGE_ARM_HEAVY|Rusatom-Antonoff ORD

SYSTEM_SALVAGE_ARM_HEAVY_DESC|В ходе совместной работы над проектом KTA24 Rusatom-Antonoff быстро выявил недостатки AR-1500 Triskellion-Armstrong. Это медленное и хрупкое устройство, использование которого в качестве инструмента для добычи руды быстро приводит к износу его прецизионных сервоприводов и тщательно спроектированного стыковочного адаптера. ORD — это ответ на эти недостатки. \n\nХотя этот аппарат особенно тяжёлый и энергоёмкий из-за громоздкой опорной конструкции, его износостойкие двигатели и подшипники представляют собой жизнеспособную и надёжную альтернативу аналогу.

SYSTEM_SALVAGE_ARM_HEAVY_SPECS|Нагрузка на манипулятор: 3200 кН \nДальность захвата: 40 м \nЭнергопотребление (пиковая): 220 МВт \nМесто установки: Только высокопрочный подвес \nМасса: 14 000 кг \nПроизводитель: «Rusatom-Antonoff»



SYSTEM_SALVAGE_ARM_LIGHT|Runasimi KRB-500

SYSTEM_SALVAGE_ARM_LIGHT_DESC|Манипулятор образца Runasimi KRB-500 изначально разрабатывался для судов малобюджетных исследовательских организаций, но недавно нашёл новую нишу в горнодобывающей отрасли как удобная альтернатива системам нанодронов. \n\nПриводы манипулятора используют гидромуфты с тормозными дисками для имитации точности шаговых или серводвигателей. Это инновационное решение минимизирует расходы на обслуживание и общую массу. Кроме того, его захват можно намагнитить для фиксации на внешнем корпусе небольших ферромагнитных объектов, таких как корпуса дронов, но его удерживающей силы может быть недостаточно для более крупных судов. \n\nПримечание: пакеты для анализа и экспериментов приобретаются отдельно.

SYSTEM_SALVAGE_ARM_LIGHT_SPECS|Нагрузка на манипулятор: 500 кН \nДальность захвата: 35 м \nЭнергопотребление (пиковая): 60 МВт \nМасса: 2050 кг \nПроизводитель: Runasimi Inc.





 
SYSTEM_MAIN_ENGINE_NANI|SSE NANI Torch Refit

SYSTEM_MAIN_ENGINE_NANI_DESC|Этот до смешного непрактичный и совершенно отвратительный основной двигатель — закономерный итог множества ночей, проведённых за пьянством и размышлениями о смысле жизни. Придя к выводу, что смысла нет, команда Sin Space Engineering собралась с мыслями и создала эту штуку. \n\nДисклеймер: Omaewamou-Shindeiru считает это действительно забавным и полностью одобряет использование NANI в качестве основного двигателя. Может привести к аннулированию гарантии на судно. Использование в качестве основного фонаря на некоторых судах может повредить реактор. Веселитесь!

SYSTEM_MAIN_ENGINE_NANI_SPECS|Тяга: 3450 кН \nСкорость истечения: 132 км/с \nРасход рабочего тела: 0,5 кг/с \nЭнергопотребление: 200 МВт \nПотребление тепла: 2 ГВт \nРабочее тело: Сверхкритическая жидкая урановая соль \nВремя горения: 1 минута (прибл.) \nМасса: 10 000 кг \nПроизводитель: Sin Space Engineering / Omaewamou-Shindeiru



SYSTEM_MAIN_ENGINE_GEMINI|Двухцилиндровый двигатель MA-NTR600-II

SYSTEM_MAIN_ENGINE_GEMINI_DESC|NTR600-II, также известный как «Джемини», представляет собой двухцилиндровый магнитоплазмодинамический двигатель, способный обеспечивать достойную тягу при высокой эффективности и надёжности. Двойная схема выхлопа в сочетании с базовой системой управления вектором тяги также обеспечивает дополнительный векторный потенциал, повышая потенциальную эффективность горелки. \n\nВнимание: обслуживание данного устройства должно выполняться только инженерами Mitsudaya-Starbus или лицензированными субподрядчиками. Страховые программы пока недоступны во внешней Солнечной системе.

SYSTEM_MAIN_ENGINE_GEMINI_SPECS|Тяга: 1200 кН \nСкорость истечения: 28 км/с \nРасход рабочего тела: 52 кг/с \nЭнергопотребление: 250 МВт \nПотребление тепла: 16,8 ГВт \nУгол поворота: 60 град \nСкорость поворота: 20 град/с \nРежим работы: Изменяемая тяга \nРабочее тело: Водородная плазма \nМасса: 4350 кг \nПроизводитель: Mitsudaya-Starbus



SYSTEM_MAIN_ENGINE_SOYUZ|Счетверный двигатель RA-TNTRL-R44

SYSTEM_MAIN_ENGINE_SOYUZ_DESC|В существование этого «дввигателя» нет смысла сомневаться. Rusatom-Antonoff стремился конкурировать с другими многоконтурными установками, внедряя собственные, но разработка шла медленно, и к концу XXII века было испытано множество прототипов, которые потерпели неудачу, так и не найдя приемлемых решений. \n\nМифы о процессе его создания разнятся, но в целом предполагают, что ведущему конструктору проекта во сне явился призрак легендарного советского ракетчика Валентина Глушко. Он произнес одно слово: «Союз» и исчез, оставив у ног конструктора двигатель К44 с системой рулевого управления. \n\nПроизводство этих комбинированных установок продолжается и по сей день, и отчасти именно поэтому двигатель К44 до сих пор так популярен.

SYSTEM_MAIN_ENGINE_SOYUZ_SPECS|Тяга: 1600 кН \nСкорость истечения: 15 км/с \nРасход рабочего тела: 106,4 кг/с \nЭнергопотребление: 60 МВт \nПотребление тепла: 12,0 ГВт \nРежим работы: Импульсная тяга \nРабочее тело: Кислородно-водородная плазма \nМасса: 650 кг \nПроизводитель: Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_THUNDER|Счетверённый двигатель RA-K69V

SYSTEM_MAIN_ENGINE_THUNDER_DESC|Этот двигатель — специальная разработка, в нем используется рама R44 с двигателями K69V, оснащёнными карданными подвесами, которыми эта линейка так славится среди гонщиков колец. Установка включает в себя дополнительную и полностью легальную модификацию транспондера «Thunderbarge-class». По специальному запросу предоставляется персональный крюк-кошка.

SYSTEM_MAIN_ENGINE_THUNDER_SPECS|Тяга: 1600 кН \nСкорость истечения: 12 км/с \nРасход рабочего тела: 133,2 кг/с \nЭнергопотребление: 100 МВт \nПотребление тепла: 14,4 ГВт \nУгол поворота: 25 градусов \nСкорость поворота: 360 градусов/с \nРежим работы: Импульсная тяга, в карданном подвесе \nРабочее тело: Кислородно-водородная плазма \nМасса: 950 кг \nПроизводитель: Изготовлено по индивидуальному заказу / Rusatom-Antonoff



SYSTEM_MAIN_ENGINE_PIN1200|Двигатель RMS Pin-M200

SYSTEM_MAIN_ENGINE_PIN1200_DESC|В двигателе Pin-M200 компании Rasamama Material Solutions реализована та же технология импульсной индукции, которая используется в твердотельных двигателях серии Pin-150 с системой RCS, но в большем масштабе. Масштабирование технологии, конечно, делает двигатель более хрупким, однако его надежность по-прежнему находится в пределах данных конкурентов. \n\nВысокая тепловая мощность расширенной технологии потребовала номинальной мощности сжигания значительно более 60 ГВт непосредственно от реактора. Учитывая, что он превосходит даже гоночные реакторы, было решено включить в систему микротермоядерный реактор для энергоснабжения. В отличие от аналогичных термоядерных горелок, этот реактор используется исключительно для выработки тепла, а не для создания тяги. Ограниченный запас термоядерного топлива ограничивает время сжигания примерно полутора часами.

SYSTEM_MAIN_ENGINE_PIN1200_SPECS|Тяга: 1200 кН \nСкорость истечения: 105 км/с \nРасход рабочего тела: 11,4 кг/с \nЭнергопотребление: 550 МВт \nУгол поворота: 40 градусов \nРежим работы: Изменяемая тяга \nРабочее тело: Водородная плазма / урановая соль \nВремя горения: 90 минут (прибл.) \nМасса: 11 350 кг \nПроизводитель: Rasamama Material Solutions



SYSTEM_MAIN_ENGINE_CRACK|Двигатель NDDFD

SYSTEM_MAIN_ENGINE_CRACK_DESC|Двигатель направленного термоядерного синтеза от Nakamura Dynamics — один из самых мощных и самых ПЕРВЫХ термоядерных двигателей, представленных на рынке. Популяризация этого двигателя произошла благодаря скандально известной рекламе 2214 года, подкрепленной песней Vengaboys «Бум, бум, бум, бум». NDDFD использует мощные электромагниты для дробления нагретых ферромагнитных оболочек, содержащих дейтерий и тритий под давлением, а затем направляет образовавшуюся детонацию через сопло, напоминающее клетку. \n\nВ отличие от конкурента, NDDFD требует огромного и непрерывного источника энергии для поддержания движения, а его относительно крупные гранулы и специализированное оборудование подачи существенно ограничивают его запас топлива на малых судах.

SYSTEM_MAIN_ENGINE_CRACK_SPECS|Тяга: 1800 кН \nСкорость истечения: 1850 км/с \nРасход рабочего тела: 1 кг/с \nЭнергопотребление: 445 МВт \nРежим работы: Импульсная тяга \nРабочее тело: Водородная плазма \nТермоядерное топливо: D-T \nВремя горения: 30 минут (прибл.) \nМасса: 4650 кг \nПроизводитель: Nakamura Dynamics



SYSTEM_MAIN_ENGINE_ZURBIN|Двигатель ZURBIN

SYSTEM_MAIN_ENGINE_ZURBIN_DESC|Двигатель Zurbin — высокопроизводительный главный двигатель фрегатов класса «Tsukuyuomi». В настоящее время он снят с вооружения, но всё ещё используется на фрегатах, хотя и давно не используется в боевых действиях. Компания Nakamura Dynamics стремилась к повторному использованию любых деталей списанных фрегатов, используя их в своих автономных станциях класса Phage.

SYSTEM_MAIN_ENGINE_ZURBIN_SPECS|Тяга: 6900 кН \nСкорость истечения: 66 км/с \nРасход рабочего тела: 104,5 кг/с \nЭнергопотребление: 50 МВт \nРежим работы: Изменяемая тяга \nРабочее тело: Кислородно-водородная плазма \nМасса: 10 000 кг \nПроизводитель: Nakamura Dynamics



SYSTEM_MAIN_ENGINE_PMS|Двигатель ND PMS

SYSTEM_MAIN_ENGINE_PMS_DESC|Двигатель PMS является ранним предшественником двигателя NTTR. Первый большой двигатель типа NTR от Nakamura Dynamics отличается катастрофической экономичностью топлива и тягой, не соответствующей уровню чистого NTR, но при этом отличается исключительной надёжностью. Способный работать в условиях нагрузок, значительно превосходящих любые другие двигатели на рынке, и невероятно прочный для своей мощности, PMS по-прежнему отвечает требованиям к двигателям, способным работать даже в ситуациях, которые при использовании альтернативных вариантов считались бы критическими.

SYSTEM_MAIN_ENGINE_PMS_SPECS|Тяга: 3000 кН \nСкорость истечения: 3 км/с \nРасход рабочего тела: 1000 кг/с \nЭнергопотребление: 20 МВт \nПотребление тепла: 4,5 ГВт \nРежим работы: Изменяемая тяга \nРабочее тело: Кислородно-водородная плазма \nМасса: 250 кг \nПроизводитель: Nakamura Dynamics






 
SYSTEM_MWTIGHTBEAM|НМВ пушка RA

SYSTEM_MWTIGHTBEAM_DESC|Направленная микроволновая пушка Rusatom-Antonoff использует длинный трубчатый волновод для концентрации микроволн в узкий пучок излучения. Модульные и неспециализированные компоненты пушки дешевы и просты в ремонте, но их преимущества компенсируются высокой стоимостью установки и средней энергоэффективностью.

SYSTEM_MWTIGHTBEAM_SPECS|Эффективная дистанция: 800 м \nЭнергопотребление: 120 МВт \nВыходная мощность: 90 МВт \nДлина волны: 1 см \nМасса: 400 кг \nПроизводитель: Rusatom-Antonoff



SYSTEM_MWTIGHTBEAM_PDT|НМВ турель RA

SYSTEM_MWTIGHTBEAM_PDT_DESC|Эта версия НМВ пушки Rusatom-Antonoff установлена ​​на корпусе турели NDPT Nakamura Dynamics. Она обладает аналогичными характеристиками управляемости и настраиваемыми параметрами конфигурации, как и линейка рельсовых пушек 42xx для точечной обороны, хотя её карданный привод пришлось понизить для надлежащего управления тяжёлой кабельной системой питания. \n\nНМВ турель может автоматически захватывать и сопровождать цели, но, в отличие от рельсотрона, не требует ручного управления для стрельбы.

SYSTEM_MWTIGHTBEAM_PDT_SPECS|Эффективная дальность: 2000 м \n ИИ наведения: Класс 1 \nЭнергопотребление: 120 МВт \nВыходная мощность: 90 МВт \nДлина волны: 1 см \nМасса: 3000 кг \nПроизводитель: Rusatom



SYSTEM_PDTL|Лазерная турель NDCL-80 для точечной обороны

SYSTEM_PDTL_MANUAL|Автоматически выбирает цели.\nСтреляет автоматически.\nКоординирует по нескольким системам.\nКомпьютер наведения несовершенен.\nОтключите подвес, чтобы предотвратить случайный огонь по своим.\nНаносит термический урон.

SYSTEM_PDTL_DESC|Небольшой лазер, закреплённый на основании башни, обеспечивает широкий охват с точки крепления. Низкая мощность лазера приводит к увеличению нагрузки на разрушение камней, однако снижает наносимый целям урон. Он стреляет автоматически, поэтому пользователям рекомендуется контролировать работу систем опознавания «свой-чужой» (IFF) для предотвращения нежелательных столкновений. \n\nАППАРАТНОЕ ОБЕСПЕЧЕНИЕ ПРЕДОСТАВЛЯЕТСЯ «КАК ЕСТЬ», БЕЗ КАКИХ-ЛИБО ГАРАНТИЙ, ЯВНЫХ ИЛИ ПОДРАЗУМЕВАЕМЫХ. ПОЛЬЗОВАТЕЛЬ НЕСЁТ ВСЮ ОТВЕТСТВЕННОСТЬ ПРИ ИСПОЛЬЗОВАНИИ ДАННОГО ОБОРУДОВАНИЯ.

SYSTEM_PDTL_SPECS|Эффективная дальность: 1000 м \nИИ наведения: Класс 1 \nЭнергопотребление (пиковая): 80 МВт \nМасса: 1500 кг \nПроизводитель: Nakamura Dynamics, Coherent Light





 
